Country Name,Country Code,WGI.VA.2010,Year
Sweden,SWE,1.582521057,2010
Switzerland,CHE,1.616725382,2010
Syrian Arab Republic,SYR,-1.6764388,2010
"Taiwan, China",TWN,0.90057963,2010
Tajikistan,TJK,-1.356045082,2010
Tanzania,TZA,-0.09658169,2010
Thailand,THA,-0.557818988,2010
Timor-Leste,TMP,0.022240803,2010
Togo,TGO,-0.965467744,2010
Tonga,TON,0.295837867,2010
Trinidad and Tobago,TTO,0.521624251,2010
Tunisia,TUN,-1.344742541,2010
Turkey,TUR,-0.159287114,2010
Turkmenistan,TKM,-2.028598932,2010
Tuvalu,TUV,0.747762562,2010
Uganda,UGA,-0.477388701,2010
Ukraine,UKR,-0.147612723,2010
United Arab Emirates,ARE,-0.888482384,2010
United Kingdom,GBR,1.312851012,2010
United States,USA,1.16180876,2010
Uruguay,URY,1.144977767,2010
Uzbekistan,UZB,-2.017187912,2010
Vanuatu,VUT,0.500705569,2010
"Venezuela, RB",VEN,-0.905276767,2010
Vietnam,VNM,-1.430262315,2010
Virgin Islands (U.S.),VIR,0.804899826,2010
West Bank and Gaza,WBG,-0.853158099,2010
"Yemen, Rep.",YEM,-1.28170825,2010
Zambia,ZMB,-0.264282424,2010
Zimbabwe,ZWE,-1.4879177,2010
