Country.Code,Country Name,Year,DEMOC,AUTOC,POLITY,POLITY2
NOR,Norway,1865,0,7,-7,-7
NOR,Norway,1866,0,7,-7,-7
NOR,Norway,1867,0,7,-7,-7
NOR,Norway,1868,0,7,-7,-7
NOR,Norway,1869,0,7,-7,-7
NOR,Norway,1870,0,7,-7,-7
NOR,Norway,1871,0,7,-7,-7
NOR,Norway,1872,0,7,-7,-7
NOR,Norway,1873,2,6,-4,-4
NOR,Norway,1874,2,6,-4,-4
NOR,Norway,1875,2,6,-4,-4
NOR,Norway,1876,2,6,-4,-4
NOR,Norway,1877,2,6,-4,-4
NOR,Norway,1878,2,6,-4,-4
NOR,Norway,1879,2,6,-4,-4
NOR,Norway,1880,2,6,-4,-4
NOR,Norway,1881,2,6,-4,-4
NOR,Norway,1882,2,6,-4,-4
NOR,Norway,1883,2,6,-4,-4
NOR,Norway,1884,4,6,-2,-2
NOR,Norway,1885,4,6,-2,-2
NOR,Norway,1886,4,6,-2,-2
NOR,Norway,1887,4,6,-2,-2
NOR,Norway,1888,4,6,-2,-2
NOR,Norway,1889,4,6,-2,-2
NOR,Norway,1890,4,6,-2,-2
NOR,Norway,1891,4,6,-2,-2
NOR,Norway,1892,4,6,-2,-2
NOR,Norway,1893,4,6,-2,-2
NOR,Norway,1894,4,6,-2,-2
NOR,Norway,1895,4,6,-2,-2
NOR,Norway,1896,4,6,-2,-2
NOR,Norway,1897,4,6,-2,-2
NOR,Norway,1898,10,0,10,10
NOR,Norway,1899,10,0,10,10
NOR,Norway,1900,10,0,10,10
NOR,Norway,1901,10,0,10,10
NOR,Norway,1902,10,0,10,10
NOR,Norway,1903,10,0,10,10
NOR,Norway,1904,10,0,10,10
NOR,Norway,1905,10,0,10,10
NOR,Norway,1906,10,0,10,10
NOR,Norway,1907,10,0,10,10
NOR,Norway,1908,10,0,10,10
NOR,Norway,1909,10,0,10,10
NOR,Norway,1910,10,0,10,10
NOR,Norway,1911,10,0,10,10
NOR,Norway,1912,10,0,10,10
NOR,Norway,1913,10,0,10,10
NOR,Norway,1914,10,0,10,10
NOR,Norway,1915,10,0,10,10
NOR,Norway,1916,10,0,10,10
NOR,Norway,1917,10,0,10,10
NOR,Norway,1918,10,0,10,10
NOR,Norway,1919,10,0,10,10
NOR,Norway,1920,10,0,10,10
NOR,Norway,1921,10,0,10,10
NOR,Norway,1922,10,0,10,10
NOR,Norway,1923,10,0,10,10
NOR,Norway,1924,10,0,10,10
NOR,Norway,1925,10,0,10,10
NOR,Norway,1926,10,0,10,10
NOR,Norway,1927,10,0,10,10
NOR,Norway,1928,10,0,10,10
NOR,Norway,1929,10,0,10,10
NOR,Norway,1930,10,0,10,10
NOR,Norway,1931,10,0,10,10
NOR,Norway,1932,10,0,10,10
NOR,Norway,1933,10,0,10,10
NOR,Norway,1934,10,0,10,10
NOR,Norway,1935,10,0,10,10
NOR,Norway,1936,10,0,10,10
NOR,Norway,1937,10,0,10,10
NOR,Norway,1938,10,0,10,10
NOR,Norway,1939,10,0,10,10
NOR,Norway,1940,-66,-66,-66,
NOR,Norway,1941,-66,-66,-66,
NOR,Norway,1942,-66,-66,-66,
NOR,Norway,1943,-66,-66,-66,
NOR,Norway,1944,-66,-66,-66,
NOR,Norway,1945,10,0,10,10
NOR,Norway,1946,10,0,10,10
NOR,Norway,1947,10,0,10,10
NOR,Norway,1948,10,0,10,10
NOR,Norway,1949,10,0,10,10
NOR,Norway,1950,10,0,10,10
NOR,Norway,1951,10,0,10,10
NOR,Norway,1952,10,0,10,10
NOR,Norway,1953,10,0,10,10
NOR,Norway,1954,10,0,10,10
NOR,Norway,1955,10,0,10,10
